,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,BounceRates,PageValues,SpecialDay,Weekend,Visitor_New_Visitor,Visitor_Returning_Visitor,Revenue
0,0.0,0.0,0.0,0.0,1.0,0.058196969500000056,0.0,0.0,0,0,1,0
1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,1,0
2,0.0,0.0,0.0,0.0,1.0,0.058196969500000056,0.0,0.0,0,0,1,0
3,0.0,0.0,0.0,0.0,2.0,0.058196969500000056,0.0,0.0,0,0,1,0
4,0.0,0.0,0.0,0.0,10.0,0.02,0.0,0.0,1,0,1,0
5,0.0,0.0,0.0,0.0,19.0,0.015789474,0.0,0.0,0,0,1,0
6,0.0,0.0,0.0,0.0,1.0,0.058196969500000056,0.0,0.4,0,0,1,0
7,1.0,0.0,0.0,0.0,0.0,0.058196969500000056,0.0,0.0,1,0,1,0
8,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.8,0,0,1,0
9,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.4,0,0,1,0
10,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0,0,1,0
11,0.0,0.0,0.0,0.0,16.0,0.01875,0.0,0.4,0,0,1,0
12,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0,0,1,0
13,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0,0,1,0
14,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,1,0
15,2.0,53.0,0.0,0.0,23.0,0.008333333,0.0,0.0,0,0,1,0
16,0.0,0.0,0.0,0.0,1.0,0.058196969500000056,0.0,0.0,0,0,1,0
17,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1,0,1,0
18,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,1,0
19,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0,0,1,0
20,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,1,0,1,0
21,0.0,0.0,0.0,0.0,2.0,0.058196969500000056,0.0,0.0,0,0,1,0
22,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0,0,1,0
23,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.8,0,0,1,0
24,0.0,0.0,0.0,0.0,1.0,0.058196969500000056,0.0,0.0,1,0,1,0
25,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,1,0
26,4.0,64.6,0.0,0.0,32.0,0.002857143,0.0,0.0,0,0,1,0
27,0.0,0.0,0.0,0.0,4.0,0.058196969500000056,0.0,0.0,0,0,1,0
28,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.2,0,0,1,0
29,1.0,6.0,2.0,0.0,45.0,0.058196969500000056,18.855502398000006,0.4,0,0,1,0
30,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,1,0
31,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1,0,1,0
32,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0,0,1,0
33,0.0,0.0,0.0,0.0,10.0,0.04,0.0,0.0,0,0,1,0
34,0.0,0.0,0.0,0.0,14.0,0.014285714,0.0,0.0,0,0,1,0
35,0.0,0.0,0.0,0.0,52.0,0.015384615,0.0,0.0,0,0,1,0
36,0.0,0.0,0.0,0.0,8.0,0.025,0.0,0.0,1,0,1,0
37,2.0,18.0,0.0,0.0,5.0,0.0,0.0,0.8,0,0,1,0
38,0.0,0.0,0.0,0.0,7.0,0.028571429,0.0,0.6,0,0,1,0
39,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0,0,1,0
40,1.0,9.0,0.0,0.0,46.0,0.0,0.0,0.0,0,0,1,0
41,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.6,0,0,1,0
42,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0,0,1,0
43,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.4,0,0,1,0
44,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,1,0
45,0.0,0.0,0.0,0.0,22.0,0.003030303,0.0,0.2,0,0,1,0
46,0.0,0.0,0.0,0.0,14.0,0.017142857,0.0,0.0,0,0,1,0
47,0.0,0.0,0.0,0.0,3.0,0.058196969500000056,0.0,0.2,0,0,1,0
48,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0,0,1,0
49,0.0,0.0,0.0,0.0,1.0,0.058196969500000056,0.0,0.6,0,0,1,0
50,0.0,0.0,0.0,0.0,1.0,0.058196969500000056,0.0,0.0,1,0,1,0
51,0.0,0.0,0.0,0.0,12.0,0.011111111,0.0,0.2,0,0,1,0
52,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1,0,1,0
53,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,1,0
54,0.0,0.0,0.0,0.0,4.0,0.058196969500000056,0.0,0.4,0,0,1,0
55,0.0,0.0,0.0,0.0,1.0,0.058196969500000056,0.0,0.2,0,0,1,0
56,0.0,0.0,0.0,0.0,1.0,0.058196969500000056,0.0,0.6,0,0,1,0
57,4.0,56.0,2.0,72.0,36.0,0.0,18.855502398000006,0.2,0,0,1,0
58,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.4,0,0,1,0
59,2.0,16.0,0.0,0.0,16.0,0.011764706,0.0,0.6,0,0,1,0
60,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.4,0,0,1,0
61,0.0,0.0,0.0,0.0,8.0,0.058196969500000056,0.0,0.0,0,0,1,0
62,7.0,224.88750000000005,0.0,0.0,42.0,0.009,18.855502398000006,0.0,0,0,1,0
63,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1,0,1,0
64,0.0,0.0,0.0,0.0,1.0,0.058196969500000056,0.0,0.0,0,0,1,0
65,3.0,87.83333333,0.0,0.0,27.0,0.0,18.855502398000006,0.8,0,0,1,1
66,4.0,44.0,0.0,0.0,74.0,0.002150538,0.0,0.0,0,0,1,0
67,0.0,0.0,0.0,0.0,1.0,0.058196969500000056,0.0,0.6,0,0,1,0
68,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0,0,1,0
69,0.0,0.0,0.0,0.0,1.0,0.058196969500000056,0.0,0.2,0,0,1,0
70,0.0,0.0,0.0,0.0,1.0,0.058196969500000056,0.0,0.0,0,0,1,0
71,0.0,0.0,0.0,0.0,20.0,0.025,0.0,0.0,0,0,1,0
72,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.4,0,0,1,0
73,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0,0,1,0
74,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0,0,1,0
75,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0,0,1,0
76,10.0,224.88750000000005,0.0,0.0,36.0,0.004347826,18.855502398000006,0.0,0,0,1,1
77,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.6,0,0,1,0
78,0.0,0.0,0.0,0.0,1.0,0.058196969500000056,0.0,1.0,1,0,1,0
79,0.0,0.0,0.0,0.0,1.0,0.058196969500000056,0.0,0.4,0,0,1,0
80,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1,0,1,0
81,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.8,0,0,1,0
82,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0,0,1,0
83,0.0,0.0,0.0,0.0,12.0,0.016666667,0.0,0.0,0,0,1,0
84,0.0,0.0,0.0,0.0,1.0,0.058196969500000056,0.0,0.8,1,0,1,0
85,0.0,0.0,0.0,0.0,1.0,0.058196969500000056,0.0,0.0,0,0,1,0
86,0.0,0.0,0.0,0.0,7.0,0.058196969500000056,0.0,0.0,0,0,1,0
87,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0,0,1,0
88,0.0,0.0,0.0,0.0,7.0,0.028571429,0.0,0.4,0,0,1,0
89,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0,0,1,0
90,2.0,36.0,0.0,0.0,15.0,0.0,0.0,0.4,0,0,1,0
91,0.0,0.0,0.0,0.0,1.0,0.058196969500000056,0.0,0.0,1,0,1,0
92,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,1,0
93,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0,1,0,0
94,0.0,0.0,0.0,0.0,27.0,0.003703704,0.0,0.6,0,0,1,0
95,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.2,0,0,1,0
96,0.0,0.0,0.0,0.0,6.0,0.058196969500000056,0.0,0.2,0,0,1,0
97,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.6,0,0,1,0
98,0.0,0.0,2.0,0.0,7.0,0.038095238,0.0,0.6,0,0,1,0
99,0.0,0.0,0.0,0.0,16.0,0.004166667,0.0,0.0,0,0,1,0
100,3.0,18.33333333,0.0,0.0,38.0,0.0,0.0,0.4,0,0,1,0
101,4.0,61.0,0.0,0.0,19.0,0.0,18.855502398000006,1.0,1,0,1,1
102,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.4,0,0,1,0
103,2.0,31.0,2.0,72.0,36.0,0.0,0.0,0.8,0,0,1,0
104,3.0,58.5,0.0,0.0,17.0,0.007058824,0.0,0.0,0,0,1,0
105,0.0,0.0,0.0,0.0,2.0,0.058196969500000056,0.0,0.0,0,0,1,0
106,0.0,0.0,2.0,0.0,9.0,0.058196969500000056,0.0,0.8,0,0,1,0
107,0.0,0.0,0.0,0.0,12.0,0.058196969500000056,0.0,0.0,0,0,1,0
108,0.0,0.0,0.0,0.0,2.0,0.058196969500000056,0.0,0.8,0,0,1,0
109,6.0,224.88750000000005,2.0,72.0,74.0,0.000854701,0.0,0.0,0,0,1,0
110,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.6,0,0,1,0
111,0.0,0.0,0.0,0.0,4.0,0.058196969500000056,0.0,0.4,0,0,1,0
112,0.0,0.0,0.0,0.0,1.0,0.058196969500000056,0.0,0.8,0,0,1,0
113,2.0,22.0,0.0,0.0,25.0,0.008,0.0,0.2,0,0,1,0
114,0.0,0.0,2.0,72.0,30.0,0.012903226,0.0,0.2,0,0,1,0
115,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1,0,1,0
116,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.8,0,0,1,0
117,0.0,0.0,0.0,0.0,11.0,0.018181818,0.0,0.2,0,0,1,0
118,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0,0,1,0
119,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0,0,1,0
120,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0,0,1,0
121,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.6,0,0,1,0
